sku,name,product_code,parent_sku,parent_name,safco_item_number,product_name,manufacturer_number,brand,retailer,description,size,pack_quantity,pack_unit,price,price_text,currency,availability,availability_label,parent_description,category_path_str,product_url,image_urls_str,variant_image,is_synthetic,source_seed,extracted_at
3028418,"HALYARD* Black Nitrile gloves, large, 100/box",3028418,DRCDL,Halyard Black Nitrile,3028418,"HALYARD* Black Nitrile gloves, large, 100/box",49442,Halyard,Safco Dental,"large, 100/box",large,100,box,8.29,8.290000,,in_stock,In stock,"HALYARD* Black Nitrile Exam Gloves deliver dependable protection and professional performance for dental professionals. Perfect for clinical and hygiene procedures, these nitrile gloves provide excellent tactile sensitivity and a secure grip with textured fingertips for confident instrument handling. The sleek black color conceals stains, maintaining a clean, modern look in any dental setting. Each box contains 100 gloves in a SMARTPULL* Dispenser designed to reduce waste, improve efficiency, and save valuable operatory space.",Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/halyard-black-nitrile,"https://www.safcodental.com/media/catalog/product/d/r/drcdl.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcdl.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcdl.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:52.435185+00:00
3028416,"HALYARD* Black Nitrile gloves, medium, 100/box",3028416,DRCDL,Halyard Black Nitrile,3028416,"HALYARD* Black Nitrile gloves, medium, 100/box",49441,Halyard,Safco Dental,"medium, 100/box",medium,100,box,8.29,8.290000,,in_stock,In stock,"HALYARD* Black Nitrile Exam Gloves deliver dependable protection and professional performance for dental professionals. Perfect for clinical and hygiene procedures, these nitrile gloves provide excellent tactile sensitivity and a secure grip with textured fingertips for confident instrument handling. The sleek black color conceals stains, maintaining a clean, modern look in any dental setting. Each box contains 100 gloves in a SMARTPULL* Dispenser designed to reduce waste, improve efficiency, and save valuable operatory space.",Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/halyard-black-nitrile,"https://www.safcodental.com/media/catalog/product/d/r/drcdl.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcdl.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcdl.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:52.435185+00:00
3028414,"HALYARD* Black Nitrile gloves, small, 100/box",3028414,DRCDL,Halyard Black Nitrile,3028414,"HALYARD* Black Nitrile gloves, small, 100/box",49440,Halyard,Safco Dental,"small, 100/box",small,100,box,8.29,8.290000,,in_stock,In stock,"HALYARD* Black Nitrile Exam Gloves deliver dependable protection and professional performance for dental professionals. Perfect for clinical and hygiene procedures, these nitrile gloves provide excellent tactile sensitivity and a secure grip with textured fingertips for confident instrument handling. The sleek black color conceals stains, maintaining a clean, modern look in any dental setting. Each box contains 100 gloves in a SMARTPULL* Dispenser designed to reduce waste, improve efficiency, and save valuable operatory space.",Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/halyard-black-nitrile,"https://www.safcodental.com/media/catalog/product/d/r/drcdl.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcdl.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcdl.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:52.435185+00:00
3028420,"HALYARD* Black Nitrile gloves, x-large, 100/box",3028420,DRCDL,Halyard Black Nitrile,3028420,"HALYARD* Black Nitrile gloves, x-large, 100/box",49443,Halyard,Safco Dental,"x-large, 100/box",x-large,100,box,8.29,8.290000,,in_stock,In stock,"HALYARD* Black Nitrile Exam Gloves deliver dependable protection and professional performance for dental professionals. Perfect for clinical and hygiene procedures, these nitrile gloves provide excellent tactile sensitivity and a secure grip with textured fingertips for confident instrument handling. The sleek black color conceals stains, maintaining a clean, modern look in any dental setting. Each box contains 100 gloves in a SMARTPULL* Dispenser designed to reduce waste, improve efficiency, and save valuable operatory space.",Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/halyard-black-nitrile,"https://www.safcodental.com/media/catalog/product/d/r/drcdl.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcdl.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcdl.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:52.435185+00:00
3020822,Lavender Nitrile gloves large 250/box,3020822,DRCAS,Lavender Nitrile,3020822,Lavender Nitrile gloves large 250/box,52819,Halyard,Safco Dental,"Large, 250/box",Large,250,box,28.99,28.990000,,in_stock,In stock,Powder-free nitrile exam gloves. Soft and strong; one of the thinnest nitrile gloves on the market. Thicker and longer cuff! Textured fingertips Beaded cuff Low dermatitis potential Ambidextrous Lavender color Thickness: at palm 2.0 mils; at fingertip 2.8 mils 250 gloves per box (230 for x-large) Order 10 boxes to purchase a case,Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/lavender-nitrile,"https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:42.423263+00:00
3020815,Lavender Nitrile gloves medium 250/box,3020815,DRCAS,Lavender Nitrile,3020815,Lavender Nitrile gloves medium 250/box,52818,Halyard,Safco Dental,"Medium, 250/box",Medium,250,box,28.99,28.990000,,backorder,Backorder,Powder-free nitrile exam gloves. Soft and strong; one of the thinnest nitrile gloves on the market. Thicker and longer cuff! Textured fingertips Beaded cuff Low dermatitis potential Ambidextrous Lavender color Thickness: at palm 2.0 mils; at fingertip 2.8 mils 250 gloves per box (230 for x-large) Order 10 boxes to purchase a case,Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/lavender-nitrile,"https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:42.423263+00:00
3020810,Lavender Nitrile gloves small 250/box,3020810,DRCAS,Lavender Nitrile,3020810,Lavender Nitrile gloves small 250/box,52817,Halyard,Safco Dental,"Small, 250/box",Small,250,box,28.99,28.990000,,backorder,Backorder,Powder-free nitrile exam gloves. Soft and strong; one of the thinnest nitrile gloves on the market. Thicker and longer cuff! Textured fingertips Beaded cuff Low dermatitis potential Ambidextrous Lavender color Thickness: at palm 2.0 mils; at fingertip 2.8 mils 250 gloves per box (230 for x-large) Order 10 boxes to purchase a case,Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/lavender-nitrile,"https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:42.423263+00:00
3020830,Lavender Nitrile gloves x-large 230/box,3020830,DRCAS,Lavender Nitrile,3020830,Lavender Nitrile gloves x-large 230/box,52820,Halyard,Safco Dental,"X-large, 230/box",X-large,230,box,28.99,28.990000,,in_stock,In stock,Powder-free nitrile exam gloves. Soft and strong; one of the thinnest nitrile gloves on the market. Thicker and longer cuff! Textured fingertips Beaded cuff Low dermatitis potential Ambidextrous Lavender color Thickness: at palm 2.0 mils; at fingertip 2.8 mils 250 gloves per box (230 for x-large) Order 10 boxes to purchase a case,Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/lavender-nitrile,"https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:42.423263+00:00
3020800,Lavender Nitrile gloves x-small 250/box,3020800,DRCAS,Lavender Nitrile,3020800,Lavender Nitrile gloves x-small 250/box,52816,Halyard,Safco Dental,"X-small, 250/box",X-small,250,box,28.99,28.990000,,backorder,Backorder,Powder-free nitrile exam gloves. Soft and strong; one of the thinnest nitrile gloves on the market. Thicker and longer cuff! Textured fingertips Beaded cuff Low dermatitis potential Ambidextrous Lavender color Thickness: at palm 2.0 mils; at fingertip 2.8 mils 250 gloves per box (230 for x-large) Order 10 boxes to purchase a case,Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/lavender-nitrile,"https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:42.423263+00:00
3890911,Micro-Touch Affinity gloves large 100/box,3890911,DRDAG,Micro-Touch Affinity,3890911,Micro-Touch Affinity gloves large 100/box,3773,Ansell,Safco Dental,"Large, 100/box",Large,100,box,32.99,32.990000,,backorder,Backorder,Powder-free Neoprene (polychloroprene) exam gloves. Textured fingertips finish Beaded cuff Ambidextrous Neoprene Green color Polymer coated for easy donning Thickness: at palm 5.1 mils; at fingertip 6.3 mils 100 gloves per box Order 10 boxes to purchase a case,Dental Supplies > Dental Exam Gloves > Chloroprene gloves,https://www.safcodental.com/product/micro-touch-sup-reg-sup-affinity-sup-reg-sup,"https://www.safcodental.com/media/catalog/product/d/r/drdag.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drdag.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drdag.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:33:04.136169+00:00
